Unit,,,,,,Sec,,,,V,C,MHz,dBm,mA,dBc/Hz,dBc/Hz,dBc/Hz,dBc/Hz,dBc/Hz,dBc/Hz,fs,,,Sec,,,
HighL,,,,,,,,,,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,,,,,,
PID-24,1,1,9,-53,1,9.608,12,,,3.29999995231628,0,2604.83422851563,-6.28401226043701,9.35324478149414,-78.2052841186523,-102.206260681152,-122.533302307129,-140.297561645508,-151.103057861328,-155.61376953125,59.1193771362305,1,2012_12_14 12:54:01,0.251, Sim-StriHandler-NA, PASS, Bin1
PID-25,1,1,3,-53,1,9.663,12,,,3.29999995231628,0,2604.25952148438,-6.30547136306763,9.43735218048096,-80.9792404174805,-105.438697814941,-127.268249511719,-144.146545410156,-151.109405517578,-154.864776611328,36.4100456237793,1,2012_12_14 12:54:11,0.294, Sim-StriHandler-NA, PASS, Bin1
PID-26,1,1,-1,-50,1,9.631,12,,,3.29999995231628,0,2604.20922851563,-6.1341294670105,9.41489505767822,-75.2626113891602,-98.2124099731445,-118.755638122559,-136.641510009766,-148.024887084961,-154.499755859375,92.0115661621094,1,2012_12_14 12:54:21,0.327, Sim-StriHandler-NA, PASS, Bin1
PID-27,1,1,5,-50,1,9.687,12,,,3.29999995231628,0,2606.21020507813,-6.33598035812378,9.56707859039307,-76.532958984375,-100.088439941406,-120.650543212891,-138.578109741211,-149.562530517578,-155.271286010742,73.8794403076172,1,2012_12_14 12:54:31,0.264, Sim-StriHandler-NA, PASS, Bin1
PID-28,1,1,17,-50,1,9.663,12,,,3.29999995231628,0,2605.47436523438,-6.23422569274902,9.39816093444824,-72.7533416748047,-100.274070739746,-121.197143554688,-139.350051879883,-149.272048950195,-153.661071777344,69.792350769043,1,2012_12_14 12:54:42,0.289, Sim-StriHandler-NA, PASS, Bin1
PID-29,1,1,15,-47,1,9.663,12,,,3.29999995231628,0,2597.31616210938,-5.94912952423096,9.3114070892334,-78.2151260375977,-100.873657226563,-121.63346862793,-139.513519287109,-149.195465087891,-154.811386108398,67.0176620483398,1,2012_12_14 12:54:52,0.285, Sim-StriHandler-NA, PASS, Bin1
PID-30,1,1,9,-47,1,9.679,12,,,3.29999995231628,0,2609.46899414063,-6.85276788711548,9.35761833190918,-74.4976959228516,-106.443542480469,-128.054550170898,-145.512512207031,-153.358489990234,-156.749374389648,33.2169609069824,1,2012_12_14 12:55:02,0.266, Sim-StriHandler-NA, PASS, Bin1
PID-31,1,1,8,-47,1,9.599,12,,,3.29999995231628,0,2605.75610351563,-6.17046731948853,9.44102382659912,-75.410774230957,-98.9500350952148,-119.596519470215,-137.713760375977,-148.595367431641,-156.356964111328,82.8253631591797,1,2012_12_14 12:55:12,0.229, Sim-StriHandler-NA, PASS, Bin1
PID-32,1,1,7,-47,1,9.697,12,,,3.29999995231628,0,2597.033203125,-5.90255111694336,9.49301052093506,-74.5159683227539,-106.429634094238,-128.898727416992,-145.548538208008,-153.376220703125,-155.120086669922,30.8710517883301,1,2012_12_14 12:55:22,0.255, Sim-StriHandler-NA, PASS, Bin1
PID-33,1,1,9,-46,1,9.64,12,,,3.29999995231628,0,2603.853515625,-6.47107261657715,9.4408073425293,-73.4140625,-97.9963073730469,-118.97811126709,-137.079742431641,-148.270965576172,-153.631576538086,88.0312271118164,1,2012_12_14 12:55:32,0.285, Sim-StriHandler-NA, PASS, Bin1
PID-34,1,1,15,-46,1,9.645,12,,,3.29999995231628,0,2605.28515625,-6.40355438232422,9.41511058807373,-72.0198211669922,-96.5998153686523,-116.749855041504,-135.076416015625,-146.18147277832,-154.278213500977,115.409797668457,1,2012_12_14 12:55:42,0.293, Sim-StriHandler-NA, PASS, Bin1
